Simulation Time,IMU Accelerometer X,IMU Accelerometer Y,IMU Accelerometer Z,IMU Gyroscope X,IMU Gyroscope Y,IMU Gyroscope Z,IMU Compass,GNSS Latitude,GNSS Longitude,Control Steer,Wheel Physics Tire Friction,Damping Rate,Radius,long_stiff_value,FL_PositionX,FL_PositionY,FL_PositionZ,FR_PositionX,FR_PositionY,FR_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,Vehicle Speed,Long_Speed,FL_Velocity,FR_Velocity,S_FL,S_FR,S_BL,S_BR,
262.7712916,-1.83077395,-0.020268634,9.826759338,-0.003145595,0.329231713,0.156528166,270.3004197,-0.000147833,-0.000792456,0.001366361,3.5,0.25,37,3000,-8886.969727,1728.657104,37.00623322,-8886.092773,1561.976563,37.00624084,-8586.508789,1730.237183,37.00993347,-8585.632813,1563.556641,37.00991821,17.62913322,17.62911865,17.76276934,17.74448792,0.00758125,0.00654424,0,0,
262.821484,-2.993735313,0.006172709,9.843957901,-0.001093272,0.368051787,0.138552122,270.307687,-0.000147818,-0.000794636,0.001337816,3.5,0.25,37,3000,-8911.196289,1728.492065,37.00517273,-8910.298828,1561.811523,37.00508499,-8610.736328,1730.109985,37.00908279,-8609.838867,1563.429443,37.0090065,16.97807109,16.97806412,17.44352976,17.42876448,0.02741571,0.02654604,0,0,
262.8712537,-3.436721325,0.018924849,9.823153496,-3.73E-05,0.339232658,0.128049558,270.314244,-0.000147805,-0.000796727,0.001290965,3.5,0.25,37,3000,-8934.381836,1728.333252,37.00445557,-8933.464844,1561.652954,37.00448227,-8633.921875,1729.985474,37.00811386,-8633.004883,1563.305176,37.00814819,16.34581447,16.34580966,16.69398537,16.67992199,0.02130061,0.02044024,0,0,
262.9201593,-3.839382887,0.011515133,9.82930088,-0.001577408,0.28810541,0.116733122,270.3202546,-0.000147792,-0.000798704,0.001213868,3.5,0.25,37,3000,-8956.017578,1728.184082,37.00675201,-8955.083984,1561.503906,37.00675964,-8655.557617,1729.866943,37.00959015,-8654.624023,1563.186768,37.0096283,15.85897435,15.85897009,15.57810471,15.56615126,-0.01771019,-0.01846392,0,0,
262.968521,-3.5215168,2.96E-05,9.791053772,-0.000481297,0.219081292,0.097059663,270.3253363,-0.000147779,-0.000800579,0.001010761,3.5,0.25,37,3000,-8976.825195,1728.041382,37.00613785,-8975.876953,1561.361206,37.00618744,-8676.365234,1729.75061,37.00834274,-8675.416992,1563.070435,37.00813293,15.23865355,15.23864973,14.98183669,14.97129006,-0.01685274,-0.01754484,0,0,
263.0185922,-2.363085985,-0.016392201,9.795348167,-0.001951526,0.131860177,0.07551814,270.3295983,-0.000147767,-0.000802446,0.000800664,3.5,0.25,37,3000,-8997.519531,1727.901855,37.00627136,-8996.55957,1561.221802,37.00629425,-8697.060547,1729.632568,37.00725937,-8696.100586,1562.952515,37.00726318,14.70680482,14.70680291,14.90026053,14.89182263,0.01315429,0.01258055,0,0,
263.0699634,-1.403458595,0.028172757,9.791926384,-0.00058492,0.03241433,0.075251816,270.3334232,-0.000147755,-0.000804308,0.000879655,3.5,0.25,37,3000,-9018.1875,1727.762817,37.00679016,-9017.216797,1561.082764,37.00677109,-8717.728516,1729.513672,37.00697327,-8716.756836,1562.833618,37.00699615,14.34745804,14.34745498,14.88127422,14.87354002,0.03720655,0.03666748,0,0,
263.1201694,-0.363598794,-0.007862125,9.834494591,-0.000443081,-0.037955038,0.064085057,270.3368929,-0.000147743,-0.0008061,0.000714716,3.5,0.25,37,3000,-9038.171875,1727.62854,37.0066185,-9037.19043,1560.948608,37.00657654,-8737.711914,1729.397339,37.00604248,-8736.731445,1562.717407,37.00603485,14.26192172,14.26191891,14.3890748,14.38134001,0.00891576,0.00837342,0,0,
263.1699288,0.837080836,-0.004960002,9.824252129,-0.000782452,-0.102334923,0.05184905,270.3397616,-0.000147732,-0.000807874,0.000566155,3.5,0.25,37,3000,-9057.884766,1727.498047,37.00758743,-9056.895508,1560.818115,37.00751877,-8757.425781,1729.28125,37.00627518,-8756.436523,1562.60144,37.00637436,14.40343598,14.40343469,14.19359224,14.18796736,-0.01456892,-0.01495944,0,0,
263.2188116,1.948506355,-2.210356474,9.836880684,-0.384165804,-0.145645153,-4.01390538,270.251215,-0.000147746,-0.000809638,-0.066610232,3.5,0.25,37,3000,-9077.435547,1727.93457,37.01163101,-9076.782227,1561.25293,37.00949097,-8776.973633,1729.111816,37.0097847,-8776.320313,1562.430176,37.00767517,14.7284777,14.72242772,14.08007112,14.32185969,-0.04363116,-0.02720801,0,0,
